BUYER_COUNTY,BUYER_STATE,year,count,DOSAGE_UNIT,countyfips
FAIRFIELD,CT,2006,48259,15292131,09001
FAIRFIELD,CT,2007,52636,17047912,09001
FAIRFIELD,CT,2008,54085,18219284,09001
FAIRFIELD,CT,2009,53989,18928010.0037,09001
FAIRFIELD,CT,2010,56291,19915241.32,09001
FAIRFIELD,CT,2011,59461,21659495.67,09001
FAIRFIELD,CT,2012,60548,22001310,09001
FAIRFIELD,CT,2013,62920,20513850,09001
FAIRFIELD,CT,2014,58857,18878710,09001
HARTFORD,CT,2006,55471,18481507,09003
HARTFORD,CT,2007,61392,21198621,09003
HARTFORD,CT,2008,62994,22596760,09003
HARTFORD,CT,2009,61905,23085590,09003
HARTFORD,CT,2010,63696,23968700,09003
HARTFORD,CT,2011,63320,24294875,09003
HARTFORD,CT,2012,64607,24946160,09003
HARTFORD,CT,2013,68454,24875890,09003
HARTFORD,CT,2014,64783,23949210,09003
LITCHFIELD,CT,2006,16698,5036048,09005
LITCHFIELD,CT,2007,18200,5524490,09005
LITCHFIELD,CT,2008,18405,5821520,09005
LITCHFIELD,CT,2009,18212,5925960,09005
LITCHFIELD,CT,2010,18179,6040570,09005
LITCHFIELD,CT,2011,18724,6452220,09005
LITCHFIELD,CT,2012,18897,6506710,09005
LITCHFIELD,CT,2013,18774,6468510,09005
LITCHFIELD,CT,2014,17703,6141870,09005
MIDDLESEX,CT,2006,11684,4061952,09007
MIDDLESEX,CT,2007,11451,4279748,09007
MIDDLESEX,CT,2008,12169,4491700,09007
MIDDLESEX,CT,2009,12946,4834918.0064,09007
MIDDLESEX,CT,2010,13709,5071765.3003,09007
MIDDLESEX,CT,2011,14393,5515746.74,09007
MIDDLESEX,CT,2012,14461,5403980,09007
MIDDLESEX,CT,2013,15844,5428870,09007
MIDDLESEX,CT,2014,15284,5273020,09007
NEW HAVEN,CT,2006,66444,24486606,09009
NEW HAVEN,CT,2007,72883,27553762,09009
NEW HAVEN,CT,2008,73052,28340100,09009
NEW HAVEN,CT,2009,72588,28710536.0015,09009
NEW HAVEN,CT,2010,73864,29717393.82,09009
NEW HAVEN,CT,2011,74775,31381444.86,09009
NEW HAVEN,CT,2012,76659,32197465,09009
NEW HAVEN,CT,2013,81161,31257614,09009
NEW HAVEN,CT,2014,77915,30271400,09009
NEW LONDON,CT,2006,18971,6486915,09011
NEW LONDON,CT,2007,20212,7277565,09011
NEW LONDON,CT,2008,20930,8028030,09011
NEW LONDON,CT,2009,21764,8739430,09011
NEW LONDON,CT,2010,22581,8912310,09011
NEW LONDON,CT,2011,23916,9600376.6,09011
NEW LONDON,CT,2012,25113,9938700,09011
NEW LONDON,CT,2013,26643,9674280,09011
NEW LONDON,CT,2014,25301,9768430,09011
TOLLAND,CT,2006,7307,2228032,09013
TOLLAND,CT,2007,8349,2707922,09013
TOLLAND,CT,2008,8472,2934890,09013
TOLLAND,CT,2009,8760,3018930,09013
TOLLAND,CT,2010,9102,3133260,09013
TOLLAND,CT,2011,9409,3253850,09013
TOLLAND,CT,2012,9319,3260700,09013
TOLLAND,CT,2013,10340,3284910,09013
TOLLAND,CT,2014,9924,3201720,09013
WINDHAM,CT,2006,9551,3041280,09015
WINDHAM,CT,2007,10151,3473260,09015
WINDHAM,CT,2008,10595,3668470,09015
WINDHAM,CT,2009,11053,3871060,09015
WINDHAM,CT,2010,11894,3932120,09015
WINDHAM,CT,2011,11541,4146710,09015
WINDHAM,CT,2012,11907,4136290,09015
WINDHAM,CT,2013,12389,3883500,09015
WINDHAM,CT,2014,11703,3741970,09015
NA,CT,2006,305,78700,NA
NA,CT,2007,112,30900,NA
NA,CT,2008,48,15000,NA
